tank,date,time,temp_deg_f,pH,cond,nitrate_ppm,O2 DO mg/L,phosphate_ppm,heater,notes
15,5/23/2022,13:30,60.8,,,,,,n,
16,5/23/2022,13:30,63.1,,,,,,n,
17,5/23/2022,13:30,64.5,,,,,,n,
18,5/23/2022,13:30,64.4,,,,,,n,
19,5/23/2022,13:30,67.3,,,,,,y,
20,5/23/2022,13:30,64,,,,,,n,
21,5/23/2022,13:30,64.5,,,,,,n,
22,5/23/2022,13:30,68.4,,,,,,y,
23,5/23/2022,13:30,63.4,,,,,,n,
24,5/23/2022,13:30,63.5,,,,,,n,
1,5/23/2022,18:30,69.6,,,,,,y,
2,5/23/2022,18:30,67.9,,,,,,y,
3,5/23/2022,18:30,63.7,,,,,,n,
4,5/23/2022,18:30,68.5,,,,,,y,
5,5/23/2022,18:30,62.7,,,,,,n,
6,5/23/2022,18:30,62.6,,,,,,n,
7,5/23/2022,18:30,60,,,,,,n,
8,5/23/2022,18:30,62.9,,,,,,n,
9,5/23/2022,18:30,63.1,,,,,,n,
10,5/23/2022,18:30,63.3,,,,,,n,
11,5/23/2022,18:30,62.7,,,,,,n,
12,5/23/2022,18:30,67.2,,,,,,y,
13,5/23/2022,18:30,62.9,,,,,,n,
14,5/23/2022,18:30,59.1,,,,,,n,
15,5/23/2022,18:30,61.1,,,,,,n,
16,5/23/2022,18:30,62.9,,,,,,n,
17,5/23/2022,18:30,63.9,,,,,,n,
18,5/23/2022,18:30,63.9,,,,,,n,
19,5/23/2022,18:30,71.9,,,,,,y,
20,5/23/2022,18:30,63.2,,,,,,n,
21,5/23/2022,18:30,63.5,,,,,,n,
22,5/23/2022,18:30,72.8,,,,,,y,
23,5/23/2022,18:30,62.4,,,,,,n,
24,5/23/2022,18:30,62.4,,,,,,n,
1,5/24/2022,9:45,71.4,,,,,,y,
2,5/24/2022,9:45,70.2,,,,,,y,
3,5/24/2022,9:45,57.3,,,,,,n,
4,5/24/2022,9:45,69.6,,,,,,y,
5,5/24/2022,9:45,56.3,,,,,,n,
6,5/24/2022,9:45,56.3,,,,,,n,
7,5/24/2022,9:45,55.6,,,,,,n,
8,5/24/2022,9:45,56.5,,,,,,n,
9,5/24/2022,9:45,56.6,,,,,,n,
10,5/24/2022,9:45,56.9,,,,,,n,
11,5/24/2022,9:45,56.6,,,,,,n,
12,5/24/2022,9:45,67,,,,,,y,
13,5/24/2022,9:45,56.8,,,,,,n,
14,5/24/2022,9:45,54.8,,,,,,n,
15,5/24/2022,9:45,55.6,,,,,,n,
16,5/24/2022,9:45,56.6,,,,,,n,
17,5/24/2022,9:45,57,,,,,,n,
18,5/24/2022,9:45,56.5,,,,,,n,
19,5/24/2022,9:45,72.6,,,,,,y,
20,5/24/2022,9:45,56.4,,,,,,n,
21,5/24/2022,9:45,56.4,,,,,,n,
22,5/24/2022,9:45,73.6,,,,,,y,
23,5/24/2022,9:45,55.8,,,,,,n,
24,5/24/2022,9:45,55.3,,,,,,n,
1,5/26/2022,15:15,68.2,,,,,,n,heaters turned off day before
2,5/26/2022,15:15,68,,,,,,n,heaters turned off day before
3,5/26/2022,15:15,69.4,,,,,,n,heaters turned off day before
4,5/26/2022,15:15,68.1,,,,,,n,heaters turned off day before
5,5/26/2022,15:15,68,,,,,,n,heaters turned off day before
6,5/26/2022,15:15,68.5,,,,,,n,heaters turned off day before
7,5/26/2022,15:15,68.1,,,,,,n,heaters turned off day before
8,5/26/2022,15:15,68.6,,,,,,n,heaters turned off day before
9,5/26/2022,15:15,68.3,,,,,,n,heaters turned off day before
10,5/26/2022,15:15,68.5,,,,,,n,heaters turned off day before
11,5/26/2022,15:15,67.7,,,,,,n,heaters turned off day before
12,5/26/2022,15:15,69,,,,,,n,heaters turned off day before
13,5/26/2022,15:15,68.7,,,,,,n,heaters turned off day before
14,5/26/2022,15:15,68.4,,,,,,n,heaters turned off day before
15,5/26/2022,15:15,68.1,,,,,,n,heaters turned off day before
16,5/26/2022,15:15,67.9,,,,,,n,heaters turned off day before
17,5/26/2022,15:15,68.5,,,,,,n,heaters turned off day before
18,5/26/2022,15:15,68.1,,,,,,n,heaters turned off day before
19,5/26/2022,15:15,67.8,,,,,,n,heaters turned off day before
20,5/26/2022,15:15,68.7,,,,,,n,heaters turned off day before
21,5/26/2022,15:15,68.2,,,,,,n,heaters turned off day before
22,5/26/2022,15:15,67.8,,,,,,n,heaters turned off day before
23,5/26/2022,15:15,65.6,,,,,,n,heaters turned off day before
24,5/26/2022,15:15,66.9,,,,,,n,heaters turned off day before
1,5/27/2022,10:15,62.5,10.1,1300,0,,0,n,Heaters on. first day of experiement - nutrients added
2,5/27/2022,10:15,74.7,9.8,1060,0,,1.3,y,Heaters on. first day of experiement - nutrients added
3,5/27/2022,10:15,63.9,9.7,1300,0.1,,error inv.,n,Heaters on. first day of experiement - nutrients added
4,5/27/2022,10:15,64.7,9.7,1360,0,,1.3,y,Heaters on. first day of experiement - nutrients added
5,5/27/2022,10:15,63.1,9.7,1330,0,,0,n,Heaters on. first day of experiement - nutrients added
6,5/27/2022,10:15,74.8,9.7,1360,0,,0.6,y,Heaters on. first day of experiement - nutrients added
7,5/27/2022,10:15,63.5,9.5,1280,0,,1.2,n,Heaters on. first day of experiement - nutrients added
8,5/27/2022,10:15,74.6,9.4,1360,0.1,,2,y,Heaters on. first day of experiement - nutrients added
9,5/27/2022,10:15,62.5,9.3,1400,0,,0.9,n,Heaters on. first day of experiement - nutrients added
10,5/27/2022,10:15,72,9.3,1520,0,,1.3,y,Heaters on. first day of experiement - nutrients added
11,5/27/2022,10:15,62.7,9.6,1500,0,,1,n,Heaters on. first day of experiement - nutrients added
12,5/27/2022,10:15,74.9,9.5,1530,0.1,,1.4,y,Heaters on. first day of experiement - nutrients added
13,5/27/2022,10:15,63.5,9.3,1500,,,0.3,n,Heaters on. first day of experiement - nutrients added - did not analyze nitrates (out of analysis packets)
14,5/27/2022,10:15,71.7,8.7,1450,,,1.5,y,Heaters on. first day of experiement - nutrients added - did not analyze nitrates (out of analysis packets)
15,5/27/2022,10:15,63.3,8.6,1450,4.8,,x,n,Heaters on. first day of experiement - nutrients added
16,5/27/2022,10:15,73.3,9,1520,0.3,,1.3,y,Heaters on. first day of experiement - nutrients added
17,5/27/2022,10:15,63.3,9.5,1800,,,0.7,n,Heaters on. first day of experiement - nutrients added - did not analyze nitrates (out of analysis packets)
18,5/27/2022,10:15,73.5,9.5,1500,1.2,,0.8,y,Heaters on. first day of experiement - nutrients added
19,5/27/2022,10:15,63.5,8.9,1450,1.1,,1.6,n,Heaters on. first day of experiement - nutrients added
20,5/27/2022,10:15,75.8,9,1100,,,1.7,y,Heaters on. first day of experiement - nutrients added - did not analyze nitrates (out of analysis packets)
21,5/27/2022,10:15,63.5,9.2,1270,,,1.5,n,Heaters on. first day of experiement - nutrients added - did not analyze nitrates (out of analysis packets)
22,5/27/2022,10:15,75.7,9,1331,,,1.5,y,Heaters on. first day of experiement - nutrients added
23,5/27/2022,10:15,62.1,8.8,1150,1.9,,1.4,n,Heaters on. first day of experiement - nutrients added
24,5/27/2022,10:15,70.9,8.7,1460,1.1,,1.5,y,Heaters on. first day of experiement - nutrients added
1,5/27/2022,17:07,75.7,,,,,,n,
2,5/27/2022,17:07,83.4,,,,,,y,
3,5/27/2022,17:07,76.8,,,,,,n,
4,5/27/2022,17:07,81.81,,,,,,y,
5,5/27/2022,17:07,75.7,,,,,,n,
6,5/27/2022,17:07,84.1,,,,,,y,
7,5/27/2022,17:07,75.8,,,,,,n,
8,5/27/2022,17:07,83.8,,,,,,y,
9,5/27/2022,17:07,74.8,,,,,,n,
10,5/27/2022,17:07,82.1,,,,,,y,
11,5/27/2022,17:07,74.8,,,,,,n,
12,5/27/2022,17:07,83.6,,,,,,y,
13,5/27/2022,17:07,76.2,,,,,,n,
14,5/27/2022,17:07,82.2,,,,,,y,
15,5/27/2022,17:07,76,,,,,,n,
16,5/27/2022,17:07,83.1,,,,,,y,
17,5/27/2022,17:07,75.1,,,,,,n,
18,5/27/2022,17:07,82.4,,,,,,y,
19,5/27/2022,17:07,75.2,,,,,,n,
20,5/27/2022,17:07,78.1,,,,,,y,
21,5/27/2022,17:07,75.8,,,,,,n,
22,5/27/2022,17:07,79.1,,,,,,y,
23,5/27/2022,17:07,74.6,,,,,,n,
24,5/27/2022,17:07,80.7,,,,,,y,
1,5/28/2022,10:00,,,,,,,n,
2,5/28/2022,10:00,75.5,,,,,,y,
3,5/28/2022,10:00,72.4,,,,,,n,
4,5/28/2022,10:00,74.1,,,,,,y,
5,5/28/2022,10:00,71.7,,,,,,n,
6,5/28/2022,10:00,75.3,,,,,,y,
7,5/28/2022,10:00,71.5,,,,,,n,
8,5/28/2022,10:00,75.3,,,,,,y,
9,5/28/2022,10:00,70.8,,,,,,n,
10,5/28/2022,10:00,75,,,,,,y,
11,5/28/2022,10:00,71.1,,,,,,n,
12,5/28/2022,10:00,75.7,,,,,,y,
13,5/28/2022,10:00,71.7,,,,,,n,
14,5/28/2022,10:00,74.6,,,,,,y,
15,5/28/2022,10:00,71.4,,,,,,n,
16,5/28/2022,10:00,74.7,,,,,,y,
17,5/28/2022,10:00,71.5,,,,,,n,
18,5/28/2022,10:00,74.5,,,,,,y,
19,5/28/2022,10:00,70.5,,,,,,n,
20,5/28/2022,10:00,76.1,,,,,,y,
21,5/28/2022,10:00,71.2,,,,,,n,
22,5/28/2022,10:00,75.8,,,,,,y,
23,5/28/2022,10:00,69.7,,,,,,n,
24,5/28/2022,10:00,74,,,,,,y,
1,5/29/2022,6:00,73.9,,,,,,n,yes - in the AM
2,5/29/2022,6:00,78.8,,,,,,y,yes - in the AM
3,5/29/2022,6:00,75.5,,,,,,n,yes - in the AM
4,5/29/2022,6:00,75.8,,,,,,y,yes - in the AM
5,5/29/2022,6:00,74.8,,,,,,n,yes - in the AM
6,5/29/2022,6:00,78.2,,,,,,y,yes - in the AM
7,5/29/2022,6:00,75.4,,,,,,n,yes - in the AM
8,5/29/2022,6:00,78.2,,,,,,y,yes - in the AM
9,5/29/2022,6:00,73.9,,,,,,n,yes - in the AM
10,5/29/2022,6:00,76.8,,,,,,y,yes - in the AM
11,5/29/2022,6:00,73.9,,,,,,n,yes - in the AM
12,5/29/2022,6:00,77.5,,,,,,y,yes - in the AM
13,5/29/2022,6:00,74.3,,,,,,n,yes - in the AM
14,5/29/2022,6:00,76.1,,,,,,y,yes - in the AM
15,5/29/2022,6:00,74.2,,,,,,n,yes - in the AM
16,5/29/2022,6:00,76.8,,,,,,y,yes - in the AM
17,5/29/2022,6:00,74.7,,,,,,n,yes - in the AM
18,5/29/2022,6:00,76.4,,,,,,y,yes - in the AM
19,5/29/2022,6:00,73.9,,,,,,n,yes - in the AM
20,5/29/2022,6:00,78.1,,,,,,y,yes - in the AM
21,5/29/2022,6:00,74.2,,,,,,n,yes - in the AM
22,5/29/2022,6:00,78.3,,,,,,y,yes - in the AM
23,5/29/2022,6:00,72.7,,,,,,n,yes - in the AM
24,5/29/2022,6:00,75.5,,,,,,y,yes - in the AM
1,5/31/2022,10:00,62.3,,,,,,n,
2,5/31/2022,10:00,73.4,,,,,,y,
3,5/31/2022,10:00,63.7,,,,,,n,
4,5/31/2022,10:00,69.3,,,,,,y,
5,5/31/2022,10:00,62.6,,,,,,n,
6,5/31/2022,10:00,71.4,,,,,,y,
7,5/31/2022,10:00,62.3,,,,,,n,
8,5/31/2022,10:00,73.6,,,,,,y,
9,5/31/2022,10:00,,,,,,,n,tank leaked/refilled
10,5/31/2022,10:00,71.9,,,,,,y,
11,5/31/2022,10:00,62.1,,,,,,n,
12,5/31/2022,10:00,72.4,,,,,,y,
13,5/31/2022,10:00,63,,,,,,n,
14,5/31/2022,10:00,71.5,,,,,,y,
15,5/31/2022,10:00,62.9,,,,,,n,
16,5/31/2022,10:00,72.7,,,,,,y,
17,5/31/2022,10:00,62.4,,,,,,n,
18,5/31/2022,10:00,70.8,,,,,,y,
19,5/31/2022,10:00,62,,,,,,n,
20,5/31/2022,10:00,73.3,,,,,,y,
21,5/31/2022,10:00,63.5,,,,,,n,
22,5/31/2022,10:00,72.6,,,,,,y,
23,5/31/2022,10:00,61.4,,,,,,n,
24,5/31/2022,10:00,71.9,,,,,,y,
1,5/31/2022,12:00,63.5,,,,,,n,
2,5/31/2022,12:00,74.8,,,,,,y,
3,5/31/2022,12:00,64.4,,,,,,n,
4,5/31/2022,12:00,70.1,,,,,,y,
5,5/31/2022,12:00,63.7,,,,,,n,
6,5/31/2022,12:00,72.9,,,,,,y,
7,5/31/2022,12:00,64.2,,,,,,n,
8,5/31/2022,12:00,68.9,,,,,,y,overflow
9,5/31/2022,12:00,51.9,,,,,,n,refilled tank
10,5/31/2022,12:00,64.6,,,,,,y,overflow
11,5/31/2022,12:00,64.1,,,,,,n,overflow
12,5/31/2022,12:00,71.9,,,,,,y,
13,5/31/2022,12:00,64.2,,,,,,n,
14,5/31/2022,12:00,72.6,,,,,,y,
15,5/31/2022,12:00,63.5,,,,,,n,
16,5/31/2022,12:00,74.2,,,,,,y,
17,5/31/2022,12:00,63.5,,,,,,n,
18,5/31/2022,12:00,72.1,,,,,,y,
19,5/31/2022,12:00,63.2,,,,,,n,
20,5/31/2022,12:00,74.6,,,,,,y,
21,5/31/2022,12:00,63.7,,,,,,n,
22,5/31/2022,12:00,74.3,,,,,,y,
23,5/31/2022,12:00,62.6,,,,,,n,
24,5/31/2022,12:00,72.1,,,,,,y,
1,6/1/2022,10:00,60.1,,,,,,n,
2,6/1/2022,10:00,75.4,,,,,,y,
3,6/1/2022,10:00,61,,,,,,n,
4,6/1/2022,10:00,70.9,,,,,,y,
5,6/1/2022,10:00,60.9,,,,,,n,
6,6/1/2022,10:00,74.2,,,,,,y,
7,6/1/2022,10:00,59.7,,,,,,n,
8,6/1/2022,10:00,71.4,,,,,,y,
9,6/1/2022,10:00,58.1,,,,,,n,
10,6/1/2022,10:00,67.7,,,,,,y,
11,6/1/2022,10:00,59.5,,,,,,n,
12,6/1/2022,10:00,71.4,,,,,,y,
13,6/1/2022,10:00,60.3,,,,,,n,
14,6/1/2022,10:00,72.6,,,,,,y,
15,6/1/2022,10:00,60.2,,,,,,n,
16,6/1/2022,10:00,74,,,,,,y,
17,6/1/2022,10:00,60.3,,,,,,n,
18,6/1/2022,10:00,71.8,,,,,,y,
19,6/1/2022,10:00,59.6,,,,,,n,
20,6/1/2022,10:00,74.9,,,,,,y,
21,6/1/2022,10:00,59.9,,,,,,n,
22,6/1/2022,10:00,73.4,,,,,,y,
23,6/1/2022,10:00,58.8,,,,,,n,
24,6/1/2022,10:00,70.7,,,,,,y,
1,6/1/2022,13:30,66.5,,,,,,n,nitrate/phophate added
2,6/1/2022,13:30,80.2,,,,,,y,nitrate/phophate added
3,6/1/2022,13:30,68.3,,,,,,n,nitrate/phophate added
4,6/1/2022,13:30,75.7,,,,,,y,nitrate/phophate added
5,6/1/2022,13:30,67.6,,,,,,n,nitrate/phophate added
6,6/1/2022,13:30,79.4,,,,,,y,nitrate/phophate added
7,6/1/2022,13:30,66.1,,,,,,n,nitrate/phophate added
8,6/1/2022,13:30,77.1,,,,,,y,nitrate/phophate added
9,6/1/2022,13:30,63,,,,,,n,nitrate/phophate added
10,6/1/2022,13:30,73.4,,,,,,y,nitrate/phophate added
11,6/1/2022,13:30,65.9,,,,,,n,nitrate/phophate added
12,6/1/2022,13:30,76.7,,,,,,y,nitrate/phophate added
13,6/1/2022,13:30,67.4,,,,,,n,nitrate/phophate added
14,6/1/2022,13:30,78.4,,,,,,y,nitrate/phophate added
15,6/1/2022,13:30,67.5,,,,,,n,nitrate/phophate added
16,6/1/2022,13:30,79.6,,,,,,y,nitrate/phophate added
17,6/1/2022,13:30,67.2,,,,,,n,nitrate/phophate added
18,6/1/2022,13:30,78.2,,,,,,y,nitrate/phophate added
19,6/1/2022,13:30,66.2,,,,,,n,nitrate/phophate added
20,6/1/2022,13:30,80.3,,,,,,y,nitrate/phophate added
21,6/1/2022,13:30,66.8,,,,,,n,nitrate/phophate added
22,6/1/2022,13:30,78.4,,,,,,y,nitrate/phophate added
23,6/1/2022,13:30,65.7,,,,,,n,nitrate/phophate added
24,6/1/2022,13:30,75.8,,,,,,y,nitrate/phophate added
1,6/2/2022,10:00,61,,,,,,n,added emergent traps
2,6/2/2022,10:00,79.2,,,,,,y,added emergent traps
3,6/2/2022,10:00,62.2,,,,,,n,added emergent traps
4,6/2/2022,10:00,71.7,,,,,,y,added emergent traps
5,6/2/2022,10:00,61.8,,,,,,n,added emergent traps
6,6/2/2022,10:00,74.7,,,,,,y,added emergent traps
7,6/2/2022,10:00,60.5,,,,,,n,added emergent traps
8,6/2/2022,10:00,72.2,,,,,,y,added emergent traps
9,6/2/2022,10:00,61.1,,,,,,n,added emergent traps
10,6/2/2022,10:00,69.1,,,,,,y,added emergent traps
11,6/2/2022,10:00,60.4,,,,,,n,added emergent traps
12,6/2/2022,10:00,72.4,,,,,,y,added emergent traps
13,6/2/2022,10:00,61.2,,,,,,n,added emergent traps
14,6/2/2022,10:00,72.7,,,,,,y,added emergent traps
15,6/2/2022,10:00,61.4,,,,,,n,added emergent traps
16,6/2/2022,10:00,74.7,,,,,,y,added emergent traps
17,6/2/2022,10:00,61.6,,,,,,n,added emergent traps
18,6/2/2022,10:00,71.6,,,,,,y,added emergent traps
19,6/2/2022,10:00,60.4,,,,,,n,added emergent traps
20,6/2/2022,10:00,75.4,,,,,,y,added emergent traps
21,6/2/2022,10:00,60.8,,,,,,n,added emergent traps
22,6/2/2022,10:00,74.1,,,,,,y,added emergent traps
23,6/2/2022,10:00,59.9,,,,,,n,added emergent traps
24,6/2/2022,10:00,71.3,,,,,,y,added emergent traps
1,6/3/2022,10:00,64.1,,,,,,n,
2,6/3/2022,10:00,79.5,,,,,,y,
3,6/3/2022,10:00,66,,,,,,n,
4,6/3/2022,10:00,73.6,,,,,,y,
5,6/3/2022,10:00,65.6,,,,,,n,
6,6/3/2022,10:00,73.6,,,,,,y,
7,6/3/2022,10:00,65.6,,,,,,n,
8,6/3/2022,10:00,79.2,,,,,,y,
9,6/3/2022,10:00,64.6,,,,,,n,
10,6/3/2022,10:00,75.5,,,,,,y,
11,6/3/2022,10:00,65.1,,,,,,n,
12,6/3/2022,10:00,73,,,,,,y,
13,6/3/2022,10:00,64.6,,,,,,n,
14,6/3/2022,10:00,76.6,,,,,,y,
15,6/3/2022,10:00,62.6,,,,,,n,
16,6/3/2022,10:00,79.8,,,,,,y,
17,6/3/2022,10:00,65.5,,,,,,n,
18,6/3/2022,10:00,74.7,,,,,,y,
19,6/3/2022,10:00,64.2,,,,,,n,
20,6/3/2022,10:00,78.1,,,,,,y,
21,6/3/2022,10:00,64.4,,,,,,n,
22,6/3/2022,10:00,78.4,,,,,,y,
23,6/3/2022,10:00,63.5,,,,,,n,
24,6/3/2022,10:00,77.1,,,,,,y,
1,6/4/2022,14:00,63.4,,,,,,n,collected emergence
2,6/4/2022,14:00,84,,,,,,y,collected emergence
3,6/4/2022,14:00,64.3,,,,,,n,collected emergence
4,6/4/2022,14:00,71.9,,,,,,y,collected emergence
5,6/4/2022,14:00,64.2,,,,,,n,collected emergence
6,6/4/2022,14:00,77.6,,,,,,y,collected emergence
7,6/4/2022,14:00,64.9,,,,,,n,collected emergence
8,6/4/2022,14:00,75.1,,,,,,y,collected emergence
9,6/4/2022,14:00,64.3,,,,,,n,collected emergence
10,6/4/2022,14:00,71.3,,,,,,y,collected emergence
11,6/4/2022,14:00,64.1,,,,,,n,collected emergence
12,6/4/2022,14:00,74.6,,,,,,y,collected emergence
13,6/4/2022,14:00,62.4,,,,,,n,collected emergence
14,6/4/2022,14:00,73.3,,,,,,y,collected emergence
15,6/4/2022,14:00,63.9,,,,,,n,collected emergence
16,6/4/2022,14:00,78,,,,,,y,collected emergence
17,6/4/2022,14:00,64.2,,,,,,n,collected emergence
18,6/4/2022,14:00,72.4,,,,,,y,collected emergence
19,6/4/2022,14:00,64.2,,,,,,n,collected emergence
20,6/4/2022,14:00,77.5,,,,,,y,collected emergence
21,6/4/2022,14:00,64.3,,,,,,n,collected emergence
22,6/4/2022,14:00,77.8,,,,,,y,collected emergence
23,6/4/2022,14:00,63.3,,,,,,n,collected emergence
24,6/4/2022,14:00,75.3,,,,,,y,collected emergence
1,6/5/2022,10:30,70.7,,,,,,n,
2,6/5/2022,10:30,72.6,,,,,,y,
3,6/5/2022,10:30,72.2,,,,,,n,
4,6/5/2022,10:30,78,,,,,,y,
5,6/5/2022,10:30,71.5,,,,,,n,
6,6/5/2022,10:30,80.9,,,,,,y,
7,6/5/2022,10:30,70.9,,,,,,n,
8,6/5/2022,10:30,78.8,,,,,,y,
9,6/5/2022,10:30,71.4,,,,,,n,
10,6/5/2022,10:30,78.6,,,,,,y,
11,6/5/2022,10:30,71,,,,,,n,
12,6/5/2022,10:30,79.1,,,,,,y,
13,6/5/2022,10:30,71.8,,,,,,n,
14,6/5/2022,10:30,78.8,,,,,,y,
15,6/5/2022,10:30,71.5,,,,,,n,
16,6/5/2022,10:30,82,,,,,,y,
17,6/5/2022,10:30,71.5,,,,,,n,
18,6/5/2022,10:30,77,,,,,,y,
19,6/5/2022,10:30,70.7,,,,,,n,
20,6/5/2022,10:30,80.2,,,,,,y,
21,6/5/2022,10:30,71.1,,,,,,n,
22,6/5/2022,10:30,81.1,,,,,,y,
23,6/5/2022,10:30,70.4,,,,,,n,
24,6/5/2022,10:30,78.4,,,,,,y,
1,6/7/2022,20:00,74.9,,,,,,n,
2,6/7/2022,20:00,78.8,,,,,,y,
3,6/7/2022,20:00,76.9,,,,,,n,
4,6/7/2022,20:00,78,,,,,,y,
5,6/7/2022,20:00,76.4,,,,,,n,
6,6/7/2022,20:00,79.9,,,,,,y,
7,6/7/2022,20:00,76.4,,,,,,n,
8,6/7/2022,20:00,79.1,,,,,,y,
9,6/7/2022,20:00,76.3,,,,,,n,
10,6/7/2022,20:00,79.6,,,,,,y,
11,6/7/2022,20:00,76.1,,,,,,n,
12,6/7/2022,20:00,79.1,,,,,,y,
13,6/7/2022,20:00,76.1,,,,,,n,
14,6/7/2022,20:00,78.1,,,,,,y,
15,6/7/2022,20:00,76.4,,,,,,n,
16,6/7/2022,20:00,80.1,,,,,,y,
17,6/7/2022,20:00,76.5,,,,,,n,
18,6/7/2022,20:00,77.5,,,,,,y,
19,6/7/2022,20:00,75.8,,,,,,n,
20,6/7/2022,20:00,78.6,,,,,,y,
21,6/7/2022,20:00,75.9,,,,,,n,
22,6/7/2022,20:00,79.1,,,,,,y,
23,6/7/2022,20:00,74.8,,,,,,n,
24,6/7/2022,20:00,77.8,,,,,,y,
1,6/9/2022,10:30,67.9,,,,,,n,set emergent traps
2,6/9/2022,10:30,76.2,,,,,,y,set emergent traps
3,6/9/2022,10:30,74,,,,,,n,set emergent traps
4,6/9/2022,10:30,75.3,,,,,,y,set emergent traps
5,6/9/2022,10:30,69.4,,,,,,n,set emergent traps
6,6/9/2022,10:30,78.7,,,,,,y,set emergent traps
7,6/9/2022,10:30,68.9,,,,,,n,set emergent traps
8,6/9/2022,10:30,77.5,,,,,,y,set emergent traps
9,6/9/2022,10:30,69.2,,,,,,n,set emergent traps
10,6/9/2022,10:30,78.6,,,,,,y,set emergent traps
11,6/9/2022,10:30,68.8,,,,,,n,set emergent traps
12,6/9/2022,10:30,75.9,,,,,,y,set emergent traps
13,6/9/2022,10:30,68.7,,,,,,n,set emergent traps
14,6/9/2022,10:30,76,,,,,,y,set emergent traps
15,6/9/2022,10:30,68.1,,,,,,n,set emergent traps
16,6/9/2022,10:30,81.2,,,,,,y,set emergent traps
17,6/9/2022,10:30,69.1,,,,,,n,set emergent traps
18,6/9/2022,10:30,73,,,,,,y,set emergent traps
19,6/9/2022,10:30,68.5,,,,,,n,set emergent traps
20,6/9/2022,10:30,79.3,,,,,,y,set emergent traps
21,6/9/2022,10:30,68.6,,,,,,n,set emergent traps
22,6/9/2022,10:30,78.5,,,,,,y,set emergent traps
23,6/9/2022,10:30,67.7,,,,,,n,set emergent traps
24,6/9/2022,10:30,77.4,,,,,,y,set emergent traps
1,6/10/2022,10:00,67.6,,855,,,,n,
2,6/10/2022,10:00,79.2,,1013,,,,y,
3,6/10/2022,10:00,69.3,,833,,,,n,
4,6/10/2022,10:00,75.4,,980,,,,y,
5,6/10/2022,10:00,69.9,,845,,,,n,
6,6/10/2022,10:00,79.8,,1112,,,,y,
7,6/10/2022,10:00,69.2,,785,,,,n,
8,6/10/2022,10:00,76.8,,958,,,,y,
9,6/10/2022,10:00,69.3,,826,,,,n,
10,6/10/2022,10:00,78.7,,1051,,,,y,
11,6/10/2022,10:00,69,,942,,,,n,
12,6/10/2022,10:00,76.6,,1087,,,,y,
13,6/10/2022,10:00,69.5,,886,,,,n,
14,6/10/2022,10:00,76.3,,960,,,,y,refilled w/ water
15,6/10/2022,10:00,69.3,,827,,,,n,
16,6/10/2022,10:00,81.1,,1078,,,,y,refilled w/ water
17,6/10/2022,10:00,69.4,,848,,,,n,
18,6/10/2022,10:00,74.6,,1008,,,,y,
19,6/10/2022,10:00,69.1,,971,,,,n,
20,6/10/2022,10:00,71.2,,1055,,,,y,
21,6/10/2022,10:00,69.3,,914,,,,n,
22,6/10/2022,10:00,78.6,,1069,,,,y,pump was off; replaced
23,6/10/2022,10:00,68.6,,826,,,,n,
24,6/10/2022,10:00,77.6,,1141,,,,y,
1,6/13/2022,21:30,75.8,,,,,,n,
2,6/13/2022,21:30,83.7,,,,,,y,
3,6/13/2022,21:30,78.1,,,,,,n,
4,6/13/2022,21:30,79.4,,,,,,y,
5,6/13/2022,21:30,77.5,,,,,,n,
6,6/13/2022,21:30,79.5,,,,,,y,
